,url
127,https://www.sciencedirect.com/science/article/pii/S2213133715000141
128,https://www.sciencedirect.com/science/article/pii/S2213133714000274
129,https://www.sciencedirect.com/science/article/pii/S2213133715000645
130,https://www.sciencedirect.com/science/article/pii/S2213133715000748
131,https://www.sciencedirect.com/science/article/pii/S2213133715000864
132,https://www.sciencedirect.com/science/article/pii/S2213133715000736
133,https://www.sciencedirect.com/science/article/pii/S2213133715000943
134,https://www.sciencedirect.com/science/article/pii/S2213133715000724
135,https://www.sciencedirect.com/science/article/pii/S2213133715000955
136,https://www.sciencedirect.com/science/article/pii/S221313371500092X
137,https://www.sciencedirect.com/science/article/pii/S2213133715001018
138,https://www.sciencedirect.com/science/article/pii/S2213133715000979
139,https://www.sciencedirect.com/science/article/pii/S2213133715000712
140,https://www.sciencedirect.com/science/article/pii/S2213133715000931
141,https://www.sciencedirect.com/science/article/pii/S2213133715000992
142,https://www.sciencedirect.com/science/article/pii/S2213133715000980
143,https://www.sciencedirect.com/science/article/pii/S2213133715000967
144,https://www.sciencedirect.com/science/article/pii/S2213133716000020
145,https://www.sciencedirect.com/science/article/pii/S2213133715001006
146,https://www.sciencedirect.com/science/article/pii/S2213133716000032
147,https://www.sciencedirect.com/science/article/pii/S2213133716300014
148,https://www.sciencedirect.com/science/article/pii/S2213133716000044
149,https://www.sciencedirect.com/science/article/pii/S2213133716300026
150,https://www.sciencedirect.com/science/article/pii/S2213133716300154
151,https://www.sciencedirect.com/science/article/pii/S2213133716000056
152,https://www.sciencedirect.com/science/article/pii/S2213133716300129
153,https://www.sciencedirect.com/science/article/pii/S2213133716300117
154,https://www.sciencedirect.com/science/article/pii/S2213133716300166
155,https://www.sciencedirect.com/science/article/pii/S2213133716300130
156,https://www.sciencedirect.com/science/article/pii/S2213133716300142
157,https://www.sciencedirect.com/science/article/pii/S221313371630018X
158,https://www.sciencedirect.com/science/article/pii/S2213133716300191
159,https://www.sciencedirect.com/science/article/pii/S2213133716300208
160,https://www.sciencedirect.com/science/article/pii/S221313371630021X
161,https://www.sciencedirect.com/science/article/pii/S2213133716300221
162,https://www.sciencedirect.com/science/article/pii/S2213133716300178
163,https://www.sciencedirect.com/science/article/pii/S2213133716300233
164,https://www.sciencedirect.com/science/article/pii/S2213133716300397
165,https://www.sciencedirect.com/science/article/pii/S2213133716300385
166,https://www.sciencedirect.com/science/article/pii/S2213133716300373
167,https://www.sciencedirect.com/science/article/pii/S2213133716300427
168,https://www.sciencedirect.com/science/article/pii/S2213133716300488
169,https://www.sciencedirect.com/science/article/pii/S2213133716300476
170,https://www.sciencedirect.com/science/article/pii/S2213133716300452
171,https://www.sciencedirect.com/science/article/pii/S2213133716300439
172,https://www.sciencedirect.com/science/article/pii/S2213133716300592
173,https://www.sciencedirect.com/science/article/pii/S2213133716300646
174,https://www.sciencedirect.com/science/article/pii/S2213133714000651
175,https://www.sciencedirect.com/science/article/pii/S221313371630049X
176,https://www.sciencedirect.com/science/article/pii/S2213133716300543
177,https://www.sciencedirect.com/science/article/pii/S2213133716300609
178,https://www.sciencedirect.com/science/article/pii/S2213133716300828
179,https://www.sciencedirect.com/science/article/pii/S2213133716300865
180,https://www.sciencedirect.com/science/article/pii/S2213133716301019
181,https://www.sciencedirect.com/science/article/pii/S2213133716300440
182,https://www.sciencedirect.com/science/article/pii/S2213133716300506
183,https://www.sciencedirect.com/science/article/pii/S2213133716300518
184,https://www.sciencedirect.com/science/article/pii/S2213133716300695
185,https://www.sciencedirect.com/science/article/pii/S2213133716301494
186,https://www.sciencedirect.com/science/article/pii/S2213133716301196
187,https://www.sciencedirect.com/science/article/pii/S2213133716301056
188,https://www.sciencedirect.com/science/article/pii/S2213133716300634
189,https://www.sciencedirect.com/science/article/pii/S2213133716300816
190,https://www.sciencedirect.com/science/article/pii/S221313371630083X
191,https://www.sciencedirect.com/science/article/pii/S2213133716300907
192,https://www.sciencedirect.com/science/article/pii/S221313371630107X
193,https://www.sciencedirect.com/science/article/pii/S2213133716301068
194,https://www.sciencedirect.com/science/article/pii/S2213133716301202
195,https://www.sciencedirect.com/science/article/pii/S2213133717300173
196,https://www.sciencedirect.com/science/article/pii/S221313371630097X
197,https://www.sciencedirect.com/science/article/pii/S2213133716300920
198,https://www.sciencedirect.com/science/article/pii/S2213133716301470
199,https://www.sciencedirect.com/science/article/pii/S2213133716301214
200,https://www.sciencedirect.com/science/article/pii/S221313371730001X
201,https://www.sciencedirect.com/science/article/pii/S2213133717300148
202,https://www.sciencedirect.com/science/article/pii/S221313371630066X
203,https://www.sciencedirect.com/science/article/pii/S2213133716300713
204,https://www.sciencedirect.com/science/article/pii/S2213133716301536
205,https://www.sciencedirect.com/science/article/pii/S2213133716301093
206,https://www.sciencedirect.com/science/article/pii/S2213133716301238
207,https://www.sciencedirect.com/science/article/pii/S2213133717300525
208,https://www.sciencedirect.com/science/article/pii/S2213133716301330
209,https://www.sciencedirect.com/science/article/pii/S2213133717300161
210,https://www.sciencedirect.com/science/article/pii/S2213133717300124
211,https://www.sciencedirect.com/science/article/pii/S2213133716301500
212,https://www.sciencedirect.com/science/article/pii/S2213133717300069
213,https://www.sciencedirect.com/science/article/pii/S221313371730032X
214,https://www.sciencedirect.com/science/article/pii/S2213133716300658
215,https://www.sciencedirect.com/science/article/pii/S2213133716301329
216,https://www.sciencedirect.com/science/article/pii/S2213133716301111
217,https://www.sciencedirect.com/science/article/pii/S2213133716301007
218,https://www.sciencedirect.com/science/article/pii/S2213133717300355
219,https://www.sciencedirect.com/science/article/pii/S2213133718300155
220,https://www.sciencedirect.com/science/article/pii/S2213133717301129
221,https://www.sciencedirect.com/science/article/pii/S221313371730121X
222,https://www.sciencedirect.com/science/article/pii/S2213133717300094
223,https://www.sciencedirect.com/science/article/pii/S2213133717300501
224,https://www.sciencedirect.com/science/article/pii/S2213133716301342
225,https://www.sciencedirect.com/science/article/pii/S2213133717300781
226,https://www.sciencedirect.com/science/article/pii/S2213133717301397
